15/10/2019/18:6:28,  Z = 87c4
15/11/2019/18:6:33,  X = 83c3
15/10/2019/18:6:33,  Y = 85c3
15/10/2019/18:6:33,  Z = 87c3
15/11/2019/18:6:38,  X = 83c4
15/10/2019/18:6:38,  Y = 85c4
15/10/2019/18:6:38,  Z = 87c4
15/11/2019/18:6:43,  X = 83c4
15/10/2019/18:6:43,  Y = 85c4
15/10/2019/18:6:43,  Z = 87c4
15/11/2019/18:6:48,  X = 83c5
15/10/2019/18:6:48,  Y = 85c5
15/10/2019/18:6:48,  Z = 87c5
15/11/2019/18:6:53,  X = 83c4
15/10/2019/18:6:53,  Y = 85c4
15/10/2019/18:6:53,  Z = 87c4
15/11/2019/18:6:58,  X = 83c6
15/10/2019/18:6:58,  Y = 85c6
15/10/2019/18:6:58,  Z = 87c6
15/11/2019/18:7:3,  X = 83c4
15/10/2019/18:7:3,  Y = 85c4
15/10/2019/18:7:3,  Z = 87c4
15/11/2019/18:7:8,  X = 83c3
15/10/2019/18:7:8,  Y = 85c3
15/10/2019/18:7:8,  Z = 87c3
15/11/2019/18:7:13,  X = 83c9
15/10/2019/18:7:13,  Y = 85c9
15/10/2019/18:7:13,  Z = 87c9
15/11/2019/18:7:18,  X = 83c5
15/10/2019/18:7:18,  Y = 85c5
15/10/2019/18:7:18,  Z = 87c5
15/11/2019/18:7:23,  X = 83c3
15/10/2019/18:7:23,  Y = 85c3
15/10/2019/18:7:23,  Z = 87c3
15/11/2019/18:7:28,  X = 83c3
15/10/2019/18:7:28,  Y = 85c3
15/10/2019/18:7:28,  Z = 87c3
15/11/2019/18:7:33,  X = 83c6
15/10/2019/18:7:33,  Y = 85c6
15/10/2019/18:7:33,  Z = 87c6
15/11/2019/18:7:38,  X = 83c6
15/10/2019/18:7:38,  Y = 85c6
15/10/2019/18:7:38,  Z = 87c6
15/11/2019/18:7:43,  X = 83c4
15/10/2019/18:7:43,  Y = 85c4
15/10/2019/18:7:43,  Z = 87c4
15/11/2019/18:7:48,  X = 83c4
15/10/2019/18:7:48,  Y = 85c4
15/10/2019/18:7:48,  Z = 87c4
15/11/2019/18:9:36,  X = 83db
15/10/2019/18:9:36,  Y = 85db
15/10/2019/18:9:36,  Z = 87db
15/11/2019/18:9:41,  X = 83cb
15/10/2019/18:9:41,  Y = 85cb
15/10/2019/18:9:41,  Z = 87cb
15/11/2019/18:9:46,  X = 83c4
15/10/2019/18:9:46,  Y = 85c4
15/10/2019/18:9:46,  Z = 87c4
15/11/2019/18:9:51,  X = 83c4
15/10/2019/18:9:51,  Y = 85c4
15/10/2019/18:9:51,  Z = 87c4
15/11/2019/18:9:56,  X = 83c4
15/10/2019/18:9:56,  Y = 85c4
15/10/2019/18:9:56,  Z = 87c4
15/11/2019/18:10:1,  X = 83c4
15/10/2019/18:10:1,  Y = 85c4
15/10/2019/18:10:1,  Z = 87c4
15/11/2019/18:10:6,  X = 83c4
15/10/2019/18:10:6,  Y = 85c4
15/10/2019/18:10:6,  Z = 87c4
15/11/2019/18:10:11,  X = 83c4
15/10/2019/18:10:11,  Y = 85c4
15/10/2019/18:10:11,  Z = 87c4
15/11/2019/18:10:16,  X = 83c4
15/10/2019/18:10:16,  Y = 85c4
15/10/2019/18:10:16,  Z = 87c4
15/11/2019/18:10:21,  X = 83c3
15/10/2019/18:10:21,  Y = 85c3
15/10/2019/18:10:21,  Z = 87c3
15/11/2019/18:10:26,  X = 83c7
15/10/2019/18:10:26,  Y = 85c7
15/10/2019/18:10:26,  Z = 87c7
15/11/2019/18:10:31,  X = 83c3
15/10/2019/18:10:31,  Y = 85c3
15/10/2019/18:10:31,  Z = 87c3
15/11/2019/18:10:36,  X = 83c4
15/10/2019/18:10:36,  Y = 85c4
15/10/2019/18:10:36,  Z = 87c4
15/11/2019/18:10:41,  X = 83c3
15/10/2019/18:10:41,  Y = 85c3
15/10/2019/18:10:41,  Z = 87c3
15/11/2019/18:10:46,  X = 83cd
15/10/2019/18:10:46,  Y = 85cd
15/10/2019/18:10:46,  Z = 87cd
15/11/2019/19:1:51,  X = 83d7
15/11/2019/19:1:51,  Y = 85d7
15/11/2019/19:1:51,  Z = 87d7
15/11/2019/19:2:1,  X = 83d9
15/11/2019/19:2:1,  Y = 85d9
15/11/2019/19:2:1,  Z = 87d9
15/11/2019/19:2:11,  X = 83dc
15/11/2019/19:2:11,  Y = 85dc
15/11/2019/19:2:11,  Z = 87dc
15/11/2019/19:2:21,  X = 83ed
15/11/2019/19:2:21,  Y = 85ed
15/11/2019/19:2:21,  Z = 87ed
15/11/2019/19:2:31,  X = 83eb
15/11/2019/19:2:31,  Y = 85eb
15/11/2019/19:2:31,  Z = 87eb
15/11/2019/19:2:41,  X = 83f6
15/11/2019/19:2:41,  Y = 85f6
15/11/2019/19:2:41,  Z = 87f6
15/11/2019/19:2:51,  X = 83e6
15/11/2019/19:2:51,  Y = 85e6
15/11/2019/19:2:51,  Z = 87e6
15/11/2019/19:3:1,  X = 83e7
15/11/2019/19:3:1,  Y = 85e7
15/11/2019/19:3:1,  Z = 87e7
15/11/2019/19:3:11,  X = 83e7
15/11/2019/19:3:11,  Y = 85e7
15/11/2019/19:3:11,  Z = 87e7
15/11/2019/19:3:21,  X = 83e3
15/11/2019/19:3:21,  Y = 85e3
15/11/2019/19:3:21,  Z = 87e3
15/11/2019/19:3:31,  X = 83d6
15/11/2019/19:3:31,  Y = 85d6
15/11/2019/19:3:31,  Z = 87d6
15/11/2019/19:3:41,  X = 83dc
15/11/2019/19:3:41,  Y = 85dc
15/11/2019/19:3:41,  Z = 87dc
15/11/2019/19:3:51,  X = 83e0
15/11/2019/19:3:51,  Y = 85e0
15/11/2019/19:3:51,  Z = 87e0
15/11/2019/19:4:1,  X = 83ee
15/11/2019/19:4:1,  Y = 85ee
15/11/2019/19:4:1,  Z = 87ee
15/11/2019/19:4:11,  X = 83c4
15/11/2019/19:4:11,  Y = 85c4
15/11/2019/19:4:11,  Z = 87c4
15/11/2019/19:4:21,  X = 83c4
15/11/2019/19:4:21,  Y = 85c4
